id,name,domain,industry,city,state,country,phone,numberofemployees,annualrevenue,lifecyclestage,hs_lead_status,createdate,lastmodifieddate
264883714284,HubSpot,hubspot.com,,,,,,,,lead,,2025-10-20T12:41:57.931Z,
267449408719,Chili Technologies,chilitech.cl,COMPUTER_SOFTWARE,,,Chili,+56123456789,480,55000000,lead,,2025-10-23T14:19:08.546Z,
267451195617,Innovation Systeme Ltd,innovationsysteme.fr,COMPUTER_SOFTWARE,,,France,+33112345678,185,25000000,lead,,2025-10-23T14:17:53.608Z,
267493725371,Zanzibar Tech Solutions,zanzibartech.co.tz,COMPUTER_SOFTWARE,,,Zanzibar,+255123456789,65,5000000,lead,,2025-10-23T14:18:55.976Z,
267497286868,Chili Finance Group,chilifinance.cl,BANKING,,,Chili,+56234567890,620,110000000,lead,,2025-10-23T14:19:09.918Z,
267502908643,Oslotech,oslotech.no,,,,,,,,lead,,2025-10-22T16:57:16.872Z,
267503421676,Egypt Finance Group,egyptfinance.eg,BANKING,,,Egypt,+202345678901,580,95000000,lead,,2025-10-23T14:18:35.320Z,
267503421686,Mexico Tech Solutions,mexicotech.com.mx,COMPUTER_SOFTWARE,,,Mexique,+521234567890,170,18000000,lead,,2025-10-23T14:19:05.020Z,
267540724961,California Finance & Mortgage,californiafinance.com,,,,,,,,lead,,2025-10-22T16:57:16.998Z,
267565379831,Norway Technologies AS,norwaytech.no,COMPUTER_SOFTWARE,,,Norvege,+4712345678,260,40000000,lead,,2025-10-23T14:18:37.112Z,
267586995396,Global Tech Solutions,globaltech.co.uk,COMPUTER_SOFTWARE,,,UK,+441234567890,1200,150000000,lead,,2025-10-23T14:18:04.410Z,
267586995435,Brunei Finance Group,bruneifinance.bn,BANKING,,,Brunei,+6732345678,880,160000000,lead,,2025-10-23T14:18:47.345Z,
268141226204,TechStartup Solutions,,COMPUTER_SOFTWARE,,,France,,25,,lead,,2025-10-22T09:43:16.121Z,
268330363072,American Finance Corp,americanfinance.com,FINANCIAL_SERVICES,Plano,Texas,USA,+13035556789,1800,420000000,lead,,2025-10-22T16:57:16.892Z,
268330363075,USA Technologies,usatech.com,INFORMATION_TECHNOLOGY_AND_SERVICES,Malvern,Pennsylvania,USA,+12025551234,2500,350000000,lead,,2025-10-22T16:57:17.125Z,
268370453750,Emirates Finance Corp,emiratesfinance.ae,BANKING,,,UAE,+971234567890,680,140000000,lead,,2025-10-23T14:18:19.398Z,
268370454765,Ghana Technologies,ghanatech.com.gh,COMPUTER_SOFTWARE,,,Ghana,+233123456789,130,15000000,lead,,2025-10-23T14:19:17.489Z,
268602708157,Digital Future Corp,digitalfuture.com,INFORMATION_TECHNOLOGY_AND_SERVICES,Montevideo,Departamento de Montevideo,France,+33123456789,320,45000000,lead,,2025-10-22T16:57:17.117Z,
268683374834,UK Manufacturing,ukmanufacturing.co.uk,,,,,,,,lead,,2025-10-22T16:57:16.954Z,
